text,label,source
"This is my first time running Razor, heard a lot of good things about it so
I thought I'd give it a shot. I also run SpamAssassin so I'd like to
integrate the two.I'm not sure if this problem is with SpamAssassin or Razor, so I though I'd
shoot the message here firstWith a freshly installed SpamAssassin 2.41 and Razor 2.14 I'm seeing these
messages spit out from spamd:razor2 check skipped: No such file or directory Can't call method ""log"" on
unblessed reference at /usr/lib/perl5/site_perl/5.6.0/Razor2/Client/Agent.pm
line 211, line 75.Any ideas? razor seems to run correctly over the command line.Thanks,
-Dave
-------------------------------------------------------
This sf.net email is sponsored by: OSDN - Tired of that same old
cell phone? Get a new here for FREE!
https://www.inphonic.com/r.asp?r=sourceforge1&refcode1=vs3390
_______________________________________________
Razor-users mailing list
Razor-users@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/razor-users",0,spamassassin
"Wow, what a flash, I just got the _perfect_ idea for a new
suspense/crime TV drama: Every week, some poor schmuck answers 
one of these Nigerian Scams ...-- 
Gary Lawrence Murphy TeleDynamics Communications Inc
Business Innovations Through Open Source Systems: http://www.teledyn.com
""Computers are useless. They can only give you answers.""(Pablo Picasso)http://xent.com/mailman/listinfo/fork",0,spamassassin
"John P. Looney wrote:
> I decided to try out GarGnome, to see what gnome2 looks like. It's
> pretty, I'll give it that.
> 
> However, there seemed to be loads of bugs - sawfish threw wobblers all
> over the place, so I tryed out metacity - which doesn't have a GUI
> configurator, and arsed if I'm going back to the fvwm days when you had to
> set settings by hand, without an idea what the values looked like.Have you tried gconf-editor? It's a GUI front-end to gconf
settings (and metacity has it's settings handled by gconf, like
all good gnome2 apps). It's true there's no designated metacity
configurator - but the whole point of metacity is to have
reasonable defaults, and thus get away from the need for settings
altogether, and have the window manager be not in the way (as so
many are).As to the sawfish issue, no idea, sorry - are you sure that
gnome2's panel handles 1.4 applets at all?Cheers,
Dave.-- 
 David Neary,
 Marseille, France
 E-Mail: bolsh@gimp.org-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie",0,spamassassin
"URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:3:59:56PM
Date: Tue, 24 Sep 2002 22:59:56 GMTBruce Loebrich[1] has scraped RSS feeds for Google news, and a RSS 2.0 success 
story. In other words, it's okay to use the features in 2.0. We're doing it at 
UserLand and so is Bruce.[1] http://radio.weblogs.com/0104308/2002/09/24.html",0,spamassassin
"This is a MIME Message------=_NextPart_000_007F_01BDF6C7.FABAC1B0
Content-Type: multipart/alternative; boundary=""----=_NextPart_001_0080_01BDF6C7.FABAC1B0""------=_NextPart_001_0080_01BDF6C7.FABAC1B0
Content-Type: text/plain; charset=""iso-8859-1""
Content-Transfer-Encoding: quoted-printable***** This is an HTML Message ! *****
------=_NextPart_001_0080_01BDF6C7.FABAC1B0
Content-Type: text/html; charset=""iso-8859-1""
Content-Transfer-Encoding: quoted-printable
Executive Guild Membership
 ApplicationResponse-O-Matic FormDear Candidate,=A0 You have been selected as a potential candidate for a free listing in=A0<=
br>
 the 2001 Edition of the International Executive Guild Registry=2E=A0= 
 Please accept our congratulations for this coveted honor=2E=A0 As this edition is so important in view of the new millennium, the=A0= International Executive Guild Registry will be published in two different=
=A0
 formats; the searchable CD-ROM and the Online Registry=2E=A0 Since inclusion can be considered recognition of your career position=A0<=
br>
 and professionalism, each candidate is evaluated in keeping with high=A0<=
br>
 standards of individual achievement=2E In light of this, the Internationa=
l Executive
 Guild thinks that you may make an interesting biographical subject=2E=A0<=
br>
 
 We look forward to your inclusion and appearance in the International=A0<=
br>
 Executive Guild's Registry=2E Best wishes for your continued success=2E=A0=
 International Executive Guild=A0
 Listing Dept=2E=A0If you
 wish to be removed from our list, please submit
 your request
at the
 bottom of this email=2E
 
 <!--
 function validate_form() {
 validity =3D true; // assume valid
 if (!check_empty(document=2Eform=2Ebusphone=2Evalue))
 { validity =3D false; alert('Day Time
 Phone field is empty!'); }
 if (validity)
 alert (""Thank you for your registration!
 ""
 + ""Your form is now being passed
 to your browser's ""
 + ""Mail Delivery Sub-System for
 NORMAL""
 + "" NON-ENCRYPTED email
 delivery=2E""
 + "" All email addresses are
 removed from our system""
 + "" upon registration=2E Please
 click OK to proceed"");
 return validity;
 } function check_empty(text) {
 return (text=2Elength > 0); // returns false if
 empty
 }
 
 // -->
 
 International Executive Guild
Registration Form
(US and Canada
 Only)Please
 fill out this form if you would like to be
 included on The International
 Executive Guild, For accuracy and
 publication purposes, please
 complete and send this form at the earliest
 opportunity=2E There is no
 charge or obligation to be listed
 on The International Executive Guild=2EYour
 NameYour
 CompanyTitleAddressCityState
 or ProvinceCountry
USACanada
ZIP/Postal
 CodeDay
 Time Telephone
Home
 Phone(Not
 To Be Published)Email
TO
 HELP US IN CONSIDERING YOUR APPLICATION, PLEASE
 TELL US A LITTLE ABOUT
 YOURSELF=2E=2E=2E
Your
 Business
(Financial
 Svcs, Banking, Computer Hardware, Software, Professional Svcs,
 Chemicals,
 Apparel, Aerospace, Food, Government, Utility,
 etc=2E)
Type
 of Organization
(M=
fg,
 Dist/Wholesaler, Retailer, Law Firm,
Investment
 Bank, Commercial Bank, University,
Financial
 Consultants, Ad Agency, Contractor, Broker,
 etc=2E)Your
 Business Expertise(Corp=2EMgmt,
 Marketing, Civil Engineering,
Tax
 
 Law, Nuclear Physics, Database Development, Operations, Pathologist,
 Mortgage
 Banking, etc=2E)
Major
 Product Line
(Integrated
 Circuits, Commercial Aircraft, Adhesives, Cosmetics, Plastic Components,
 
 Snack Foods, etc=2E)
Note: Submitting this form= will
 be made by email, not by use ofÂ  www=2EÂ  Confirmation of its de=
livery
 is made by browsing your outgoing mail=2EThank
 you for filling in this form, we will contact you with more
 information=2E
List
 Removal
Click
 Here------=_NextPart_001_0080_01BDF6C7.FABAC1B0--------=_NextPart_000_007F_01BDF6C7.FABAC1B0--",1,spamassassin
"webCREDITThank You,Your email address was obtained from a purchased 
list, Reference # 1320-15000.Â Â If you wish to unsubscribe from this list, please
Click here and enter your
name into the remove box. If you have previously
unsubscribed and are still receiving this message, you may email our
Abuse Control Center,
or call 1-888-763-2497, or write us at: NoSpam, 6484 Coral Way,
Miami, FL, 33155"".
Â© 2002 Web Credit Inc. All Rights Reserved.",1,spamassassin
"Thanks for the info AJ, I found ""weblog"" at 
http://awsd.com/scripts/weblog/index.shtml which has some click-path 
reporting. It's simple, but works. Report generation takes a bit though, even 
with dns resolution turned off..Donncha.
On Monday 07 October 2002 23:35, AJ McKee wrote:
> Donncha,
>
> I've been using mod_usertrack for a good while now. I use in by default in
> every vhost that I set up. I assign a cookie name and set the expiry for
> about a year. I have to say it looks ok. A few things to note though. If a
_______________________________________________
Webdev mailing list
Webdev@linux.ie
http://www.linux.ie/mailman/listinfo/webdev",0,spamassassin
"You Can't Beat This Deal:200 Million email addresses Database, On 2 CDs!! ==Only $99.95==100 million email addresses Database, On CD ==Only $69.95==1.5 Million USA Business FAX NUMBERS, On CD ==Only $49.95==ALL THREE DIRECTORIES ABOVE *** ONLY $139.95 ***BOTH EMAIL DIRECTORIES ARE CATEGORIZED LIKE:* Persons running home businesses or interested in starting one
* Persons interested in buying things on the web 
* Persons interested in investing online or offline
* All 50 States broken down by area code
* Persons interested in Health & Fitness products / services
* Opt in : Persons interested in recieving offers by email.
* Persons interested in Travel, Sports, Dining, Real Estate, Mortgage, Politics, Religion, Fishing, Trade Shows etc..
* Many More Categories...** Contains US & International EMAILS ** ** Everything on these disks are in TEXT file format and fully exportable. **** The CD is as easy to use as browsing your C drive in Explorer. **NOW YOU CAN ADVERTISE FREE AND GET TREMENDOUSLY
MORE RESPONSES THAN ADVERTISING WITH OTHER FORMS OF MEDIA!! ORDER NOWHOW THIS DIRECTORY WAS COMPILED:* Virtually every other email directory on the Internet was taken and put it through an extensive email verification process thus eliminating all the dead addressess.
* Special software spiders through the web searching websites, newsgroups and many other online databases with given keywords like area codes, industries, city names etc.. to find millions of fresh new addresses every week.TURN YOUR COMPUTER INTO A MONEY MACHINE!Most estimate well over 400 MILLION people will have E-mail accounts in the next 2Years! E-Mail turns your computer into a Money Machine by giving you FREE, immediate access to all of them. Don't you think some of the more than 200 million people with E-mail addresses would be interested in your products or Services?
MUCH FASTER: With bulk E-mail you get responses back in 1 to 4 days instead of waiting weeks or months! You can begin filling orders the same day you send E-mail. FREE ADVERTISING WORTH MILLIONS: It costs millions of dollars to mail.
DO NOT REPLY TO THIS EMAIL ADDRESS. TO ORDER, READ BELOW:** ORDER BY CREDIT CARD (VISA, MASTERCARD OR AMERICAN EXPRESS) **
- Simply complete the order form below and fax it back to 1-240-371-0672
Make sure that we have your email address so that we can send you a reciept for your transaction.ORDER BY MAIL:Print the form below and send it together with a money order payable to FUTURE TECH INTERNATIONAL for the balance to:FUTURE TECH INTERNATIONAL
Import Export Company
1300 Don Mills Road Suite 211
Don Mills Ontario, Canada 
M3B 2W6PLEASE DO NOT SEND POSTAL MONEY ORDERSORDER FORM:Please PRINT clearlyFull Name:________________________________________________Company Name:_____________________________________________Telephone:________________________________________________Fax:______________________________________________________Email Address:__________________________________________* REQUIRED FIELDShipping Address:______________________________________________City:____________________ State/Province:________________Country:_________________________ZIP/Postal:_____________Shipping Options: [] $5.95 Regular Mail (1 - 2 weeks)
[] $12.95 Priority Mail (2-4 business days) 
[] $25.95 Fedex (overnight) For US & Canada Only - Int'l orders extra Product:[] Email Marketing CDROM with 100 million Addresses $69.95 USD
[] 200 MILLION EMAIL ADDRESSES on 2 CD's $99.95
[] 1.5 Million USA Business Fax Numbers $49.95 USD
[] COMBO PACKAGE - ALL DIRECTORIES ABOVE (3 CD's) $139.95 USD
TOTAL: $_________ USD======================================================================================[] Credit Card Order [] Mail OrderCREDIT CARD ORDERS FAX THIS ORDER FORM BACK TO 1-240-371-0672
Card #:___________________________________________________Expiry Date: ______________ Type of Card [] VISA [] MASTERCARD [] AMERICAN EXPRESSName on Card:_____________________________________________Billing Address:_________________________________ZIP/Postal: ____________City:_____________________State/Province:_______________ Country:_____________Last 3 digits on reverse of card next to signature: [ ] - [ ] - [ ]Cardholder Signature:______________________________________Please note that FT International will appear on your statement.=======================================================================================For any questions please feel free to call us at 1-416-410-9364To be removed from our database please send a fax to 1-970-289-6524",1,spamassassin
"firewalls Digest Thu, 25 Jul 2002 Volume: 01 Issue: 033In This Issue:
 Re: QOS
 FW: disable some sites
 DNAT with iptables question
 RE: DNAT with iptables question----------------------------------------------------------------------From: ""George J. Jahchan"" 
Subject: Re: QOS
Date: Thu, 25 Jul 2002 12:11:40 +0300
> So, I'm forced to conclude that the PacketShaper either sucks in a major
> way, or that your explanation/the explanation that you have been given of
> it is wrong. (Sorry.)You are wrong on both counts. Explanation is valid for symmetrical TCP, for
others see explanations below.> Yes, all packets in an established TCP connection have the ACK flag set.
> So all packets except SYNs are candidates for delay when traffic limits
> are exceeded? Whoops.You should change that to: ... are always candidates for predictive or
preventive delay.ACKs are delayed (per flow) in such a way that WAN-bound traffic reaching
the edge router's Ethernet interface does not exceed WAN link speed (NO
ROUTER QUEUES!). It does not wait for the link to be at or near saturation
to act -- that is why, unlike queueing, it is predictive and not reactive.It slows down the rate of transmission of sending hosts (on a per-flow
basis) to accommodate WAN link speed limit and current network utilization,
rather than fill up queues at LAN speeds and empty them at WAN speeds,
eventually dropping the excess once the queue(s) fill up, informing hosts to
slow down their rate of transmission once queues are beyond a fixed
threshold (90%?).Rate control works equally well for outbound and inbound traffic. Ever heard
of an effective queueing technology for inbound traffic? Queueing packets
after they have crossed a congested link does not make much sense, does it?Re: IPsec/GRE or other encapsulated trafficIt obviously cannot dissect IPsec/GRE or other encapsulated traffic: it sees
the tunnel as one connection if the tunneling device is before the PS on the
LAN side (VPN gateway and router are two separate devices, PS between them).
If the router does the tunneling, then the PS sees clear traffic. Typically,
in an organization the first scenario would be the case at headquarters and
the second at branch offices. The PS at the branch sees traffic inside the
tunnel whereas the unit at HQ sees all traffic as one tunnel which allows
full management of both tunneled and clear traffic at both ends.UDP and asymmetrical TCP (where the PS and router only see the outgoing
packet, return traffic coming back through a satellite downlink to a station
on the LAN) are handled differently.For asymmetrical TCP, it will time the release of packets to the receiving
device, thereby indirectly timing the release of acknowledgements by the
receiving host. This informs the sender's TCP/IP stack that it should slow
the release of packets because limited bandwidth is available.For UDP, it utilizes flow-based derivative random drop. It selectively drops
only one packet at a time from flows that are predicted to cause congestion,
which prevents heavy retransmissions and application timeouts.ICMP packets exceeding policy limits are dropped.>_Maybe_ you can do a special case for TCP and try to offload some of the
queueing on
> the endpoints, but I really don't see the real gain in that.The real gain is manageability and control. A LAN host only knows about the
state of its own connections and is oblivious to WAN conditions until its
TCP/IP stack learns (when router queues are nearly full) that the WAN is
congested. A PS will predict and inform the LAN hosts' TCP/IP stacks of the
""speed limit to obey"" for every connection (based on policies and network
conditions), avoiding congestion. Control for asymmetrical TCP and UDP may
not be as ""tight"" as for symmetrical TCP, but it does work.Queueing is akin to deploying cops only when traffic jams occur, vs. rate
control where cops are permanently deployed throughout town, communicating
with each other and with a central control point, predicting upcoming
congestion and regulating traffic, ensuring a smooth flow of traffic. If
there is potential for congestion, it will take a driver a hell of lot
longer to cross town with first approach than it will with the second. Do
you agree?----- Original Message -----
From: ""Mikael Olsson"" 
To: ""George J. Jahchan"" 
Cc: ""Firewalls List"" 
Sent: Wednesday, July 24, 2002 4:50 pm
Subject: Re: QOS
""George J. Jahchan"" wrote:
>
> The whole purpose of the device is to pro-actively prevent WAN
congestion --
> it sits between client and server (client inside/server outside or client
> outside/server inside -- it does not make any difference) and pro-actively
> adjusts the TCP window size (by delaying the acknowledgement) to get the
> sending host to honor the speed limit for that individual connection
> (calculated in real-time based on user-defined policies and current
network
> conditions).Umm, don't get me wrong here, but I think you've been fed a less-than-
accurate sales pitch.Let's ponder this for a minute.The device works by delaying ACKs... that is: packets with the ACK
flag set, right?...[letting this sink in for a while]...Yes, all packets in an established TCP connection have the ACK flag set.
So all packets except SYNs are candidates for delay when traffic limits
are exceeded? Whoops.
Okay, let's assume for a second that the packets aren't actually delayed,
but that the ACK sequence numbers or TCP window size fields are re-written
(dicey). All you've accomplished is move the queueing (delaying) from
the traffic shaper to the endpoints. You still get L7-to-L7 delays. Big
deal if it happens on the wire or in the stack. Also, convincing endpoints
to do delays probably results in less-than-perfect shaping since stack
retransmit timings suddenly affect the actual bandwidth available rather
than having the shaper itself do it; the shaper knows exactly when there
is bandwidth available.But this doesn't even begin to touch on other protocols like UDP or
ICMP. Or, for that matter, IPsec/GRE/whatever tunneled traffic.
Neither of them have sequence numbers or window sizes that you can
manipulate.
So, I'm forced to conclude that the PacketShaper either sucks in a major
way, or that your explanation/the explanation that you have been given of
it is wrong. (Sorry.)What I think happens is that the delay is <=2msec as long as traffic
limits aren't exceeded. This is reasonable. BUT when traffic exceeds
the limits, things will begin to be queued. Now, with a well-behaved
TCP stack, this _will_ mean that it will fall back to lower transmission
rates; this is how TCP was designed, so that part isn't all wrong.And, again, this kind of shaping isn't rocket science. That is not to
say that there are shapers out there that are just being plain dumb
(always queueing and the selecting what gets transmitted out of the
queue), but, well, I just can't see that you can get any smarter
than queueing when limits are actually exceeded. _Maybe_ you can do
a special case for TCP and try to offload some of the queueing on the
endpoints, but I really don't see the real gain in that.
Respectfully,
/Mikael Olsson--
Mikael Olsson, Clavister AB
Storgatan 12, Box 393, SE-891 28 ï¿½RNSKï¿½LDSVIK, Sweden
Phone: +46 (0)660 29 92 00 Mobile: +46 (0)70 26 222 05
Fax: +46 (0)660 122 50 WWW: http://www.clavister.com""It's July. I'm on vacation. Can't you tell? :)""
--
Firewalls mailing list - [ firewalls@isc.org ]
To unsubscribe: http://www.isc.org/services/public/lists/firewalls.html------------------------------From: ""Hiemstra, Brenno"" 
Subject: FW: disable some sites
Date: Thu, 25 Jul 2002 13:44:18 +0200
The list addy changed ofcourse :o)> -----Original Message-----
> From: Hiemstra, Brenno 
> Sent: donderdag 25 juli 2002 12:27
> To: 'Michael Zhao'; Hiemstra, Brenno
> Cc: firewalls@lists.gnac.net
> Subject: RE: disable some sites
> 
> Michael,
> 
> If I was in your shoes I would first investigate if there
> is a security policy in your organisation. If you dont know
> what I mean by a security policy I would advice you to 
> start reading about it. A search on google would be of a
> big help for you.
> 
> If there is a security policy I would read it and investigate
> what is tells about how employees are able to use their
> workstations for performing their function. In a security 
> policy there should be things what employees are allowed
> to do on the network / internet and what not.
> 
> If there isnt a security policy I would advice you to implement
> one in your company. Because without one you cant punish
> employees by violating the policy and if there is a court case
> you dont have any rock solid thing to smack around with.
> 
> Without a policy you are just implementing solutions to prevent
> employees in doing things that, im my opinion, they arent allowed
> to do on their workstations anyway. I dont like the idea that 
> employees play games, use kazaa, ICQ, MSN, etc etc in stead
> of working what we pay them to do. This is why a security policy
> is important because then you can say to employees that they
> violated it and that there are consequences for that (deny internet
> access, etc etc).
> 
> Owkee... now that this is out of the way time to proceed about
> the proxy thingie.
> 
> A proxy dont have to be the default gateway of your network to
> use it. It is a function in Internet Explorer or whatever browser you
> use in your network.
> 
> If you ask me Checkpoint Firewalls are just good in using for what
> their real purpose is and that is firewalling a network. I dont like the
> idea that my firewall is also CVS http thingie because I dont think
> a firewall is its purpose to do that. Proxies are a much better solutions
> for that and they are also developed for that purpose.
> 
> Depending on your network setup and the OS and Proxy brand of your
> current proxy you have several solutions which was already provided 
> by people on this list. My favorite proxy is Squid and there are probably
> a lot of http blacklist programs that work with Squid to block websites
> and stuff.
> 
> I still think you should first deny direct internet traffic from
> workstations.
> and only allow traffic to the internet from servers that are allowed to do
> so. You should think about proxies, email servers, etc etc. This should
> also prevent people from playing games, especially those Quake kinda
> games because those use ports that arent necessary for normal 
> webbrowsing. Games running over port 80 and not http related are blocked
> by the proxy if that proxy is a true Layer 7 application layer proxy.
> These
> kinda proxies can view in the TCP/IP packet and see if this is legitimate 
> http traffic or that someone tries to tunnel something over port 80.
> 
> Anyway... again food for some thoughts,
> 
> Regards,
> 
> 
> 
> Brenno
> 
> 
> -----Original Message-----
> From: Michael Zhao [SMTP:mzhao@everlastingsystems.com]
> Sent: woensdag 24 juli 2002 2:38
> To: Hiemstra, Brenno
> Cc: firewalls@lists.gnac.net
> Subject: Re: disable some sites
> 
> Thanks your reply.
> 
> I built up my network three years ago . I have proxy which we only use 
> cache to accelerate our internet accessing , it is not a gateway . It is 
> too difficult to change the topology , many thing need to be changed.
> 
> Did you have another idea to help me? Someone suggest me to buy the 
> websence , but I dont have the budget right now.
> 
> Thanks a lot
> 
> Michael
> 
> Hiemstra, Brenno wrote:
> 
> >Michael,
> >
> >The first thing is to build a security policy that
> >states what people are allowed to do and what
> >not. Everyone needs to accept this policy and 
> >if they violate it you can apply rules that you state
> >in your security policy.
> >
> >If I had the option for your network setup I would
> >install a proxy server and demand every client
> >to connect to the proxy if they want to use the 
> >internet.
> >
> >The proxy will only allow http, ftp, and other ""approved""
> >services to connect to the internet. And you can let
> >them check to some database which websites are
> >allowed and deny access to sites that aren't allowed
> >
> >Your company firewall will only allow the proxy to connect
> >to the internet. Clients are denied.
> >
> >This way the clients cant connect directly to the internet
> >game servers and on the proxy you can deny clients
> >to connect to the game servers.
> >
> >I hope this is an option for you.
> >
> >Regards,
> >
> >
> >Brenno
> >
> >>-----Original Message-----
> >>From: Michael Zhao [SMTP:mzhao@everlastingsystems.com]
> >>Sent: dinsdag 23 juli 2002 14:10
> >>To: firewalls@lists.gnac.net
> >>Subject: disable some sites
> >>
> >>Hi , all
> >>
> >>I choose checkpoint fw-1 as my firewall . I found many company users 
> >>play internet games like CS, ourgame . I find users download their 
> >>clients software and install on their local workstation , after run it 
> >>, the programe can connect to game server automatically .
> >>
> >>Usally , there are many sites of every internet game server. I.E. I want
> 
> >>disable accessing the game servers like xxx.ourgame.com from my internal
> 
> >>net , how can I do that except find all of their IP address , because it
> 
> >>is so complecat to do . Who can tell me .
> >>
> >>Regards,
> >>Michael
> >>
> >>-- 
> >>Firewalls mailing list - [ firewalls@isc.org ]
> >>To unsubscribe: http://www.isc.org/services/public/lists/firewalls.html
> >>
> ------------------------------Date: Thu, 25 Jul 2002 15:08:21 -0600
From: Jerry Lynde 
Subject: DNAT with iptables question
Howdy folks,I've been scouring the online docs for solid info on how to accomplish DNAT 
with iptables.Essentially, I have converted the ipmasqadm lines of the form...ipmasqadm portfw -a -P tcp -L $WEB_OUT http -R $WEB_IN httpto iptables lines of the form...$IPTABLES -A PREROUTING -t nat -p tcp -d $WEB_OUT --dport 80 -j DNAT --to 
$WEB_IN:80with the accompanying lines...
$IPTABLES -A FORWARD -i $INTIF -o $EXTIF -m state --state 
ESTABLISHED,RELATED -j ACCEPT
$IPTABLES -A FORWARD -i $EXTIF -o $INTIF -m state --state 
ESTABLISHED,RELATED -j ACCEPT
$IPTABLES -A FORWARD -i $EXTIF -o $INTIF -p tcp -j ACCEPTThe last two lines seem functionally sorta redundant, but I threw em in in 
an effort to make this work.
So far, I am unable to show that it's working correctly... I even tried 
logging all packets...$IPTABLES -A FORWARD -i $INTIF -p tcp -j LOG --log-level info
$IPTABLES -A FORWARD -i $EXTIF -p tcp -j LOG --log-level infoBut nothing show up in /var/log/messages or anywhere else for that matter. 
This is on a Redhat 7.3 box.
Any help, clues, flames, RT(his particular)FM, etc are appreciated.I read the list, so please don't reply directly in addition to the list 
resposne.
Thanks,Jer 
------------------------------From: ""Reckhard, Tobias"" 
Subject: RE: DNAT with iptables question
Date: Fri, 26 Jul 2002 08:32:37 +0200
> $IPTABLES -A PREROUTING -t nat -p tcp -d $WEB_OUT --dport 80 
> -j DNAT --to 
> $WEB_IN:80
> 
> with the accompanying lines...
> 
> 
> $IPTABLES -A FORWARD -i $INTIF -o $EXTIF -m state --state 
> ESTABLISHED,RELATED -j ACCEPT
> $IPTABLES -A FORWARD -i $EXTIF -o $INTIF -m state --state 
> ESTABLISHED,RELATED -j ACCEPT
> $IPTABLES -A FORWARD -i $EXTIF -o $INTIF -p tcp -j ACCEPT
> 
> The last two lines seem functionally sorta redundant, but I 
> threw em in in 
> an effort to make this work.You're missing the NEW state. The initial SYN packet will not match with
either of the first two rules. It should match the third if it's inbound,
though.> So far, I am unable to show that it's working correctly... I 
> even tried 
> logging all packets...
> 
> $IPTABLES -A FORWARD -i $INTIF -p tcp -j LOG --log-level info
> $IPTABLES -A FORWARD -i $EXTIF -p tcp -j LOG --log-level info
> 
> But nothing show up in /var/log/messages or anywhere else for 
> that matter. You need to insert those logging rules above any ACCEPT, REJECT or DENY
rules for them to be of any use. Are you sure the packets are hitting the
box at all? Try moving the log rules to the top of the FORWARD chain,
introduce logging rules to the PREROUTING, POSTROUTING, INPUT and OUTPUT
chains, and/or use tcpdump as well to see where the packets are travelling.Cheers
Tobias------------------------------End of firewalls Digest V1 #33
******************************",0,spamassassin
"> I am facing the fact that exmh has been left behind in some industry
> standards. I use it for my personal mail. My mail server runs unix,
> and I connect over ssh and tunnel my X traffic over ssh. With a slow
> link, this makes exmh very slow. And mime handling is pretty bad
> compared with modern mailers.These are some good comments and I'd like to share an opinion here. (Is that permitted? :)I started using linux about 8 or 9 years ago in rebellion against what the university was doing with Winder$. I just couldn't get good support and was using a lot of unix-based tools (ported to Winder$) anyway. So, I jumped ship and became my own sysadm.What I got was the easy ability to use a shell (now ssh) to connect to my office box from just about anywhere and use either exmh or nmh (from the command line). I can do email for the office fairly easily.I haven't seen any other tools that let me do that yet. But, I have to admit, that some of the web-based mail software is getting pretty close. Quoting and such is still primitive, but they're moving forward.-=d_______________________________________________
Exmh-users mailing list
Exmh-users@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-users",0,spamassassin
